"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","103",".prevAll() - get all previous sibling DOM elements","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","122","cy.contains() - query DOM elements with matching content","","2025-11-22","passed","2025-11-22","","Querying","",""
"","219","cy.getCookies() - get browser cookies for the current domain","","2025-11-22","passed","2025-11-22","","Cookies","",""
"","440","cy.request() with query parameters","","2025-11-22","passed","2025-11-22","","Network Requests","",""
"","849","cy.screenshot() - take a screenshot","Misc","2025-11-22","passed","2025-11-22","","Cypress.Screenshot","",""
"","126",".spread() - spread an array as individual args to callback function","","2025-11-22","passed","2025-11-22","","Connectors","",""
"","112",".eq() - get a DOM element at a specific index","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","88","Cypress.minimatch - test out glob patterns against strings","","2025-11-22","passed","2025-11-22","","Utilities","",""
"","552","cy.get() - query DOM elements","","2025-11-22","passed","2025-11-22","","Querying","",""
"","104",".prev() - get previous sibling DOM element","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","136","yields the value yielded by the last Cypress command inside","Connectors","2025-11-22","passed","2025-11-22","",".then()","",""
"","1259","cy.intercept() - route responses to matching requests","","2025-11-22","passed","2025-11-22","","Network Requests","",""
"","114",".nextAll() - get all next sibling DOM elements","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","112",".prevUntil() - get all previous sibling DOM elements until el","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","159","cy.getAllCookies() - get all browser cookies","","2025-11-22","passed","2025-11-22","","Cookies","",""
"","166",".its() - get properties on the current subject","","2025-11-22","passed","2025-11-22","","Connectors","",""
"","123",".last() - get last DOM element","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","209",".debug() - enable or disable debugging","Cypress APIs","2025-11-22","passed","2025-11-22","","Cypress.Cookies","",""
"","4724","cy.wait() - wait for a specific amount of time","","2025-11-22","passed","2025-11-22","","Waiting","",""
"","266","cy.tick() - move time in the browser","","2025-11-22","passed","2025-11-22","","Spies, Stubs, and Clock","",""
"","162",".trigger() - trigger an event on a DOM element","","2025-11-22","passed","2025-11-22","","Actions","",""
"","723","cy.spy() - wrap a method in a spy","","2025-11-22","passed","2025-11-22","","Spies, Stubs, and Clock","",""
"","208","can check off an item as completed","","2025-11-22","passed","2025-11-22","","example to-do app","",""
"","352","cy.focused() - get the DOM element that has focus","","2025-11-22","passed","2025-11-22","","Misc","",""
"","358","Get environment variables","Cypress APIs","2025-11-22","passed","2025-11-22","","Cypress.env()","",""
"","398",".blur() - blur off a DOM element","","2025-11-22","passed","2025-11-22","","Actions","",""
"","1311","cy.request() - make an XHR request","","2025-11-22","passed","2025-11-22","","Network Requests","",""
"","1281",".should() - make an assertion about the current subject","Assertions","2025-11-22","passed","2025-11-22","","Implicit Assertions","",""
"","251","cy.url() - get the current URL","","2025-11-22","passed","2025-11-22","","Location","",""
"","1310",".scrollIntoView() - scroll an element into view","","2025-11-22","passed","2025-11-22","","Actions","",""
"","920",".check() - check a checkbox or radio element","","2025-11-22","passed","2025-11-22","","Actions","",""
"","176","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","","2025-11-22","passed","2025-11-22","","Local Storage / Session Storage","",""
"","264","can delete all completed tasks","example to-do app","2025-11-22","passed","2025-11-22","","with a checked task","",""
"","146",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2025-11-22","passed","2025-11-22","","Cypress.dom","",""
"","151","expect - make an assertion about a specified subject","Assertions","2025-11-22","passed","2025-11-22","","Explicit Assertions","",""
"","2536","cy.spy() retries until assertions pass","","2025-11-22","passed","2025-11-22","","Spies, Stubs, and Clock","",""
"","260","cy.clearCookies() - clear browser cookies for the current domain","","2025-11-22","passed","2025-11-22","","Cookies","",""
"","510","cy.request() - verify response using BDD syntax","","2025-11-22","passed","2025-11-22","","Network Requests","",""
